lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,is_family,has_agent,has_company,adr_per_guest,prev_cancel_ratio,hotel,arrival_date_month,arrival_weekday,meal,country,market_segment,distribution_channel,reserved_room_type,deposit_type,customer_type,agent,company,is_canceled
1,2017,21,27,0,1,2,1,0,0,0,0,1,0,158.5,0,1,1,3,1,1,0,52.833333333333336,0.0,Resort Hotel,May,Saturday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,240.0,,0
0,2015,40,1,0,1,3,0,0,0,0,0,0,0,120.0,0,2,1,3,0,0,0,40.0,0.0,Resort Hotel,October,Thursday,BB,LUX,Online TA,TA/TO,A,No Deposit,Transient-Party,,,0
43,2017,35,29,0,1,3,0,0,0,0,0,1,0,210.0,0,1,1,3,0,1,0,70.0,0.0,City Hotel,August,Tuesday,BB,FRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
73,2016,12,17,2,3,2,0,0,0,0,0,0,0,72.12,0,1,5,2,0,1,0,36.06,0.0,City Hotel,March,Thursday,BB,AUT,Online TA,TA/TO,B,No Deposit,Transient-Party,9.0,,1
39,2016,47,15,2,5,2,0,0,0,0,0,0,0,74.8,0,1,7,2,0,1,0,37.4,0.0,City Hotel,November,Tuesday,SC,BRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
1,2016,52,19,1,2,2,1,0,0,0,0,0,0,117.5,0,2,3,3,1,1,0,39.166666666666664,0.0,City Hotel,December,Monday,BB,IRN,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
74,2017,13,30,0,3,2,0,0,0,0,0,0,0,103.8,0,0,3,2,0,1,0,51.9,0.0,City Hotel,March,Thursday,BB,DEU,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
17,2017,22,2,1,2,2,0,0,0,0,0,0,0,112.0,0,1,3,2,0,1,0,56.0,0.0,City Hotel,June,Friday,SC,NLD,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
13,2017,4,24,0,2,1,0,0,1,0,9,0,0,38.0,1,0,2,1,0,0,1,38.0,0.0,Resort Hotel,January,Tuesday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,338.0,0
31,2017,21,22,1,2,1,0,0,0,0,0,1,0,144.4,0,1,3,1,0,1,0,144.4,0.0,City Hotel,May,Monday,BB,USA,Online TA,TA/TO,D,No Deposit,Transient,7.0,,0
45,2016,6,6,2,2,1,0,0,0,0,0,0,0,46.9,0,1,4,1,0,1,0,46.9,0.0,City Hotel,February,Saturday,SC,CHE,Online TA,TA/TO,A,No Deposit,Transient,11.0,,0
0,2016,11,7,3,8,1,0,0,0,0,0,6,0,90.0,0,0,11,1,0,0,0,90.0,0.0,City Hotel,March,Monday,BB,GNB,Direct,Direct,A,No Deposit,Transient,,,0
75,2017,33,16,0,1,3,0,0,0,0,0,0,0,200.0,0,1,1,3,0,1,0,66.66666666666667,0.0,City Hotel,August,Wednesday,BB,FRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
105,2016,29,16,2,6,2,0,0,0,0,0,1,0,227.0,0,0,8,2,0,1,0,113.5,0.0,Resort Hotel,July,Saturday,HB,ESP,Online TA,TA/TO,E,No Deposit,Transient,240.0,,1
80,2015,41,9,0,2,2,0,0,0,0,0,0,50,136.0,0,0,2,2,0,1,0,68.0,0.0,City Hotel,October,Friday,HB,PRT,Offline TA/TO,TA/TO,D,No Deposit,Transient-Party,12.0,,0
191,2016,21,15,1,0,2,0,0,0,0,0,1,0,106.2,0,1,1,2,0,1,0,53.1,0.0,City Hotel,May,Sunday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,8.0,,1
0,2017,18,3,0,4,2,0,0,0,0,0,3,0,89.25,1,1,4,2,0,1,0,44.625,0.0,Resort Hotel,May,Wednesday,HB,BRA,Online TA,TA/TO,G,No Deposit,Transient,240.0,,0
29,2015,43,23,0,2,2,0,0,0,0,0,0,0,56.0,0,2,2,2,0,0,0,28.0,0.0,Resort Hotel,October,Friday,BB,ESP,Direct,Direct,A,No Deposit,Transient-Party,,,0
207,2016,41,4,1,5,2,0,0,0,0,0,1,0,70.0,0,0,6,2,0,1,0,35.0,0.0,Resort Hotel,October,Tuesday,HB,GBR,Offline TA/TO,TA/TO,A,No Deposit,Transient,243.0,,0
38,2016,15,3,2,1,1,0,0,0,0,0,0,0,112.5,0,1,3,1,0,1,0,112.5,0.0,City Hotel,April,Sunday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
